,ID,VisaType,VisaEntry,Consulate,Major,Status,CheckDate,CompleteDate,WaitingDays,Comments
0,dolong,H4,New,Others,Chemistry,Clear,2008-12-01,2009-03-17,106,
1,piglet,J2,,BeiJing,CS,Clear,2008-12-01,2009-03-13,102,
2,Kevin,J1,Renewal,BeiJing,Biochemistry,Clear,2008-12-01,2009-03-17,106,
3,jzl,H1,Renewal,BeiJing,Materials Science,Clear,2008-12-02,2009-03-19,107,
4,heartlake,H1,Renewal,BeiJing,Neuroscience,Clear,2008-12-02,2009-03-17,105,
5,zerocool,H1,Renewal,ShangHai,CS,Clear,2008-12-03,2009-03-19,106,
6,oldloser,H1,Renewal,BeiJing,EE,Clear,2008-12-03,2009-03-20,107,
7,sunrising,F1,Renewal,ShangHai,ME,Clear,2008-12-03,2009-03-18,105,
8,conky_boy,J1,New,ShangHai,condensed matter physics,Clear,2008-12-03,2009-03-18,105,
9,Technicolor,B2,New,Others,Physics,Clear,2008-12-03,2009-03-18,105,
10,liuliu,J1,New,ShangHai,materials,Clear,2008-12-03,2009-03-18,105,
11,scuddingboy,B1,New,BeiJing,Image Processing,Clear,2008-12-03,2009-03-18,105,
12,zzqq,J1,New,ShangHai,biology,Clear,2008-12-04,2009-03-17,103,
13,sunmoon,F1,Renewal,GuangZhou,CS,Clear,2008-12-04,2009-03-18,104,
14,jasonkinglfj,J1,,ShangHai,CE,Clear,2008-12-05,2009-03-23,108,
15,liu_haijun,B1,New,BeiJing,N/A,Pending,2008-12-05,,3761,
16,zht,J1,,BeiJing,Chemical Engineering,Clear,2008-12-05,2009-03-17,102,
17,sqdong,H1,Renewal,GuangZhou,EE,Clear,2008-12-08,2009-03-18,100,
18,Dec-08,J1,,ChengDu,N/A,Clear,2008-12-08,2009-03-18,100,
19,harrry,H1,Renewal,ShangHai,Physics,Clear,2008-12-08,2009-03-20,102,
20,JY,H1,New,GuangZhou,Biology,Clear,2008-12-08,2009-03-20,102,
21,9753,H1,Renewal,BeiJing,EE,Clear,2008-12-08,2009-03-19,101,
22,Monkeyjun,H1,,ShangHai,biochemistry,Pending,2008-12-08,,3758,
23,hsu1225,H1,Renewal,GuangZhou,Biotech,Clear,2008-12-08,2009-03-18,100,
