ID,VisaType,VisaEntry,Consulate,Major,Status,CheckDate,CompleteDate,WaitingDays,Comments
dolong,H4,New,Others,Chemistry,Clear,2008-12-01,2009-03-17,106,
piglet,J2,,BeiJing,CS,Clear,2008-12-01,2009-03-13,102,
Kevin,J1,Renewal,BeiJing,Biochemistry,Clear,2008-12-01,2009-03-17,106,
jzl,H1,Renewal,BeiJing,Materials Science,Clear,2008-12-02,2009-03-19,107,
heartlake,H1,Renewal,BeiJing,Neuroscience,Clear,2008-12-02,2009-03-17,105,
zerocool,H1,Renewal,ShangHai,CS,Clear,2008-12-03,2009-03-19,106,
oldloser,H1,Renewal,BeiJing,EE,Clear,2008-12-03,2009-03-20,107,
sunrising,F1,Renewal,ShangHai,ME,Clear,2008-12-03,2009-03-18,105,
conky_boy,J1,New,ShangHai,condensed matter physics,Clear,2008-12-03,2009-03-18,105,
Technicolor,B2,New,Others,Physics,Clear,2008-12-03,2009-03-18,105,
liuliu,J1,New,ShangHai,materials,Clear,2008-12-03,2009-03-18,105,
scuddingboy,B1,New,BeiJing,Image Processing,Clear,2008-12-03,2009-03-18,105,
zzqq,J1,New,ShangHai,biology,Clear,2008-12-04,2009-03-17,103,
sunmoon,F1,Renewal,GuangZhou,CS,Clear,2008-12-04,2009-03-18,104,
jasonkinglfj,J1,,ShangHai,CE,Clear,2008-12-05,2009-03-23,108,
liu_haijun,B1,New,BeiJing,N/A,Pending,2008-12-05,,3761,
zht,J1,,BeiJing,Chemical Engineering,Clear,2008-12-05,2009-03-17,102,
sqdong,H1,Renewal,GuangZhou,EE,Clear,2008-12-08,2009-03-18,100,
Dec-08,J1,,ChengDu,N/A,Clear,2008-12-08,2009-03-18,100,
harrry,H1,Renewal,ShangHai,Physics,Clear,2008-12-08,2009-03-20,102,
JY,H1,New,GuangZhou,Biology,Clear,2008-12-08,2009-03-20,102,
9753,H1,Renewal,BeiJing,EE,Clear,2008-12-08,2009-03-19,101,
Monkeyjun,H1,,ShangHai,biochemistry,Pending,2008-12-08,,3758,
hsu1225,H1,Renewal,GuangZhou,Biotech,Clear,2008-12-08,2009-03-18,100,
rrchengdu,H1,Renewal,ChengDu,biology,Clear,2008-12-08,2009-04-09,122," the visa, but the expiration date is in March. Fellow applicants, please check your visa before you book your tickets!"
chembiochem,H1,Renewal,ShangHai,immunology &amp; chemistry,Clear,2008-12-08,2009-03-17,99,
mengmarmal,H1,New,ShangHai,CS,Clear,2008-12-08,2009-03-20,102,
miyayang,H1,New,GuangZhou,Biology &amp; Med.,Clear,2008-12-08,2009-03-18,100,
taoxr,H1,Renewal,ShangHai,Mol. Bio. and Biochem.,Clear,2008-12-08,2009-03-17,99,
lsn2000,H1,New,BeiJing,ECE,Clear,2008-12-08,2009-03-17,99,
foxfox44,H1,Renewal,BeiJing,Chem Eng,Clear,2008-12-09,2009-03-20,101,
ido,H1,New,BeiJing,Mechanical Engineeri,Clear,2008-12-09,2009-04-30,142,
john8899,J1,New,ShangHai,Marine Science,Clear,2008-12-09,2009-03-20,101,
hotwind01,J1,Renewal,BeiJing,ME,Clear,2008-12-09,2009-03-17,98,
pplong,J1,Renewal,ShangHai,chemistry,Clear,2008-12-09,2009-03-18,99,
sky200,H1,Renewal,ShangHai,Marine,Clear,2008-12-09,2009-03-20,101,
likewake,H1,,Others,Physics,Clear,2008-12-09,2009-03-17,98,
Ryan,F1,New,ShenYang,Aerospace Engineering,Clear,2008-12-09,2009-03-18,99,
Candy2810,J1,New,BeiJing,Biomedical,Clear,2008-12-09,2009-03-20,101,
lcdos,H1,,BeiJing,Mechanical,Clear,2008-12-09,2009-03-18,99,
woodspear,H1,Renewal,BeiJing,EE,Clear,2008-12-09,2009-03-17,98,
sixthirty,H1,New,ShangHai,Chemistry,Clear,2008-12-09,2009-03-24,105,
Jerry,J1,Renewal,BeiJing,Biophysics,Clear,2008-12-09,2009-03-17,98,
Opaque,H1,Renewal,GuangZhou,Biology,Clear,2008-12-09,2009-03-20,101,
star,J1,Renewal,BeiJing,microbiology,Clear,2008-12-09,2009-03-17,98,
bham_lion,H1,,ChengDu,Biomedical Engineeri,Clear,2008-12-10,2009-03-20,100,
bibibo123,H1,Renewal,ChengDu,Civil Engineering,Clear,2008-12-10,2009-03-20,100,
zx,H1,Renewal,ChengDu,CS,Clear,2008-12-10,2009-03-20,100,
walberta,J1,New,Vancouver ,Materials,Clear,2008-12-10,2009-03-18,98,
dnarnapro,H1,Renewal,ShangHai,Chemistry,Clear,2008-12-10,2009-03-23,103,
windyabc,H1,New,ShangHai,Biology,Clear,2008-12-10,2009-03-20,100,
irasit,F1,Renewal,BeiJing,EE,Clear,2008-12-10,2009-03-18,98,
